case_id,stress_tier,selected_rows,target_loss_mass,actual_selected_loss_mass,q90,q95,q99,deployable_residual_rmse,negative_residual_fraction
case_01,below_p90,3000,0.6,0.6,8.621943473815918,10.326234483718872,16.558459148406914,0.8647440841012822,0.371
case_01,p90_to_p95,750,0.15,0.15,8.621943473815918,10.326234483718872,16.558459148406914,0.8647440841012822,0.371
case_01,p95_to_p99,1000,0.2,0.2,8.621943473815918,10.326234483718872,16.558459148406914,0.8647440841012822,0.371
case_01,top_p99,250,0.05,0.049999999999999996,8.621943473815918,10.326234483718872,16.558459148406914,0.8647440841012822,0.371
case_06,below_p90,3000,0.6,0.6,8.970299243927002,10.134570455551147,15.962084121704066,0.8703935075255428,0.3998
case_06,p90_to_p95,750,0.15,0.15,8.970299243927002,10.134570455551147,15.962084121704066,0.8703935075255428,0.3998
case_06,p95_to_p99,1000,0.2,0.2,8.970299243927002,10.134570455551147,15.962084121704066,0.8703935075255428,0.3998
case_06,top_p99,250,0.05,0.049999999999999996,8.970299243927002,10.134570455551147,15.962084121704066,0.8703935075255428,0.3998
case_10,below_p90,3000,0.6,0.6,8.422401428222656,10.146135330200195,16.147420253753637,0.8115687072552925,0.4006
case_10,p90_to_p95,750,0.15,0.15,8.422401428222656,10.146135330200195,16.147420253753637,0.8115687072552925,0.4006
case_10,p95_to_p99,1000,0.2,0.2,8.422401428222656,10.146135330200195,16.147420253753637,0.8115687072552925,0.4006
case_10,top_p99,250,0.05,0.049999999999999996,8.422401428222656,10.146135330200195,16.147420253753637,0.8115687072552925,0.4006
case_11,below_p90,3000,0.6,0.6,9.481954383850102,10.622378873825072,17.002918834686216,0.8995183263103907,0.3734
case_11,p90_to_p95,750,0.15,0.15,9.481954383850102,10.622378873825072,17.002918834686216,0.8995183263103907,0.3734
case_11,p95_to_p99,1000,0.2,0.2,9.481954383850102,10.622378873825072,17.002918834686216,0.8995183263103907,0.3734
case_11,top_p99,250,0.05,0.049999999999999996,9.481954383850102,10.622378873825072,17.002918834686216,0.8995183263103907,0.3734
case_12,below_p90,3000,0.6,0.6,8.25219078063965,10.082114791870117,16.142577419280983,0.8444597891711019,0.3756
case_12,p90_to_p95,750,0.15,0.15,8.25219078063965,10.082114791870117,16.142577419280983,0.8444597891711019,0.3756
case_12,p95_to_p99,1000,0.2,0.2,8.25219078063965,10.082114791870117,16.142577419280983,0.8444597891711019,0.3756
case_12,top_p99,250,0.05,0.049999999999999996,8.25219078063965,10.082114791870117,16.142577419280983,0.8444597891711019,0.3756
case_13,below_p90,3000,0.6,0.6,7.618145275115968,9.118360137939451,14.603178558349592,0.8552379741741372,0.3754
case_13,p90_to_p95,750,0.15,0.15,7.618145275115968,9.118360137939451,14.603178558349592,0.8552379741741372,0.3754
case_13,p95_to_p99,1000,0.2,0.2,7.618145275115968,9.118360137939451,14.603178558349592,0.8552379741741372,0.3754
