case_id,n_elements,all_elements_used,case_equaliser,coordinate_source,q90,q95,q99,raw_weight_mean,normalised_weight_mean,normalised_weight_min,normalised_weight_max,iteration
case_01,400360,True,1.0,derived_from_exported_xy,8.621943473815918,10.326234483718872,16.558459148406914,1.2400064941552602,1.0000000000000004,0.8064473893592293,6.451579114873835,4
case_06,400360,True,1.0,derived_from_exported_xy,8.970299243927002,10.134570455551147,15.962084121704066,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,4
case_10,400360,True,1.0,derived_from_exported_xy,8.422401428222656,10.146135330200195,16.147420253753637,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,4
case_12,400360,True,1.0,derived_from_exported_xy,8.25219078063965,10.082114791870117,16.142577419280983,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,4
case_13,400360,True,1.0,derived_from_exported_xy,7.618145275115968,9.118360137939451,14.603178558349592,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,4
case_14,400360,True,1.0,derived_from_exported_xy,7.814601469039917,9.186977624893188,14.805124273300162,1.240003996403237,0.9999999999999999,0.8064490137939926,6.451592110351941,4
case_15,400360,True,1.0,derived_from_exported_xy,4.917429590225221,5.832143068313598,9.363036231994613,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,4
case_16,400360,True,1.0,derived_from_exported_xy,8.29208583831787,9.801409292221068,15.720469598770103,1.240003996403237,0.9999999999999999,0.8064490137939926,6.451592110351941,4
case_18,400360,True,1.0,derived_from_exported_xy,8.313796043395998,9.915027427673339,15.819301843643087,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,4
case_19,400360,True,1.0,derived_from_exported_xy,8.578166675567628,10.343796873092652,16.581697864532423,1.240003996403237,0.9999999999999999,0.8064490137939926,6.451592110351941,4
case_20,400360,True,1.0,derived_from_exported_xy,8.465796852111817,10.149102687835692,16.289631748199415,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,4
case_21,400360,True,1.0,derived_from_exported_xy,6.813072156906129,8.021694707870484,12.29129181861873,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,4
case_24,400360,True,1.0,derived_from_exported_xy,7.66337251663208,9.102337694168089,14.59939882278439,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,4
case_27,400360,True,1.0,derived_from_exported_xy,7.139598655700684,8.11301689147949,13.111589975357049,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,4
case_28,400360,True,1.0,derived_from_exported_xy,8.16353693008423,9.724851751327513,15.672686471939013,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,4
case_29,400360,True,1.0,derived_from_exported_xy,3.055029153823853,3.50241869688034,5.4425946283340405,1.240003996403237,0.9999999999999996,0.8064490137939926,6.451592110351941,4
case_32,400360,True,1.0,derived_from_exported_xy,8.342197036743167,10.015990829467771,15.115796918868979,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,4
case_34,400360,True,1.0,derived_from_exported_xy,7.029938602447512,8.226318550109863,12.876111402511585,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,4
case_35,400360,True,1.0,derived_from_exported_xy,5.815611219406129,6.875816249847412,10.138929128646827,1.240003996403237,1.0000000000000004,0.8064490137939926,6.451592110351941,4
case_36,400360,True,1.0,derived_from_exported_xy,6.371178054809575,9.813024330139159,19.2957092285156,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,4
case_39,400360,True,1.0,derived_from_exported_xy,5.178376388549805,6.646077251434326,10.974815073013293,1.240003996403237,0.9999999999999999,0.8064490137939926,6.451592110351941,4
case_40,400360,True,1.0,derived_from_exported_xy,7.539405775070191,8.88729267120361,14.066408891677813,1.240003996403237,0.9999999999999999,0.8064490137939926,6.451592110351941,4
case_42,400360,True,1.0,derived_from_exported_xy,7.019306039810181,8.91228380203247,13.76958976745605,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,4
case_43,400360,True,1.0,derived_from_exported_xy,7.143338203430185,9.005365419387815,13.601225948333738,1.240003996403237,0.9999999999999999,0.8064490137939926,6.451592110351941,4
case_45,400360,True,1.0,derived_from_exported_xy,8.678328609466552,10.862130212783812,15.904301156997667,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,4
case_47,400360,True,1.0,derived_from_exported_xy,7.777303504943848,9.033231782913207,14.435490150451656,1.240003996403237,0.9999999999999999,0.8064490137939926,6.451592110351941,4
case_48,400360,True,1.0,derived_from_exported_xy,8.957969093322754,10.65202441215515,16.89704576492309,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,4
case_49,400360,True,1.0,derived_from_exported_xy,8.614511680603032,10.265372943878171,16.352748069763166,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,4
case_51,400360,True,1.0,derived_from_exported_xy,5.316217565536501,6.196873641014097,9.536471252441398,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,4
case_52,400360,True,1.0,derived_from_exported_xy,8.210784435272217,9.567922735214232,15.024835319519037,1.240003996403237,0.9999999999999999,0.8064490137939926,6.451592110351941,4
case_54,400360,True,1.0,derived_from_exported_xy,8.060875701904298,9.406452131271362,14.854768409728997,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,4
case_56,400360,True,1.0,derived_from_exported_xy,7.545088195800784,9.012357282638549,12.885962295532151,1.240003996403237,0.9999999999999999,0.8064490137939926,6.451592110351941,4
case_57,400360,True,1.0,derived_from_exported_xy,8.346374702453614,9.728502988815302,14.611289510726927,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,4
case_58,400360,True,1.0,derived_from_exported_xy,5.742211008071901,6.500666666030883,10.108694267272929,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,4
case_59,400360,True,1.0,derived_from_exported_xy,8.079314613342287,9.45020728111267,14.667274990081749,1.240003996403237,0.9999999999999997,0.8064490137939926,6.451592110351941,4
case_60,400360,True,1.0,derived_from_exported_xy,8.39782257080078,9.96433162689209,15.850470104217512,1.240003996403237,0.9999999999999997,0.8064490137939926,6.451592110351941,4
case_62,400360,True,1.0,derived_from_exported_xy,3.834617543220521,4.507473468780517,6.4952899599075264,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,4
case_63,400360,True,1.0,derived_from_exported_xy,6.312755584716802,8.285945415496824,13.304288787841797,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,4
case_64,400360,True,1.0,derived_from_exported_xy,5.991517400741579,6.892904663085936,10.860165023803638,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,4
case_66,400360,True,1.0,derived_from_exported_xy,6.3177044868469245,8.640856552124024,14.484742507934437,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,4
case_67,400360,True,1.0,derived_from_exported_xy,8.129978370666503,9.483993959426876,15.007321405410755,1.240003996403237,0.9999999999999999,0.8064490137939926,6.451592110351941,4
