case_id,n_elements,all_elements_used,case_equaliser,coordinate_source,q90,q95,q99,raw_weight_mean,normalised_weight_mean,normalised_weight_min,normalised_weight_max,iteration
case_01,400360,True,1.0,derived_from_exported_xy,8.621943473815918,10.326234483718872,16.558459148406914,1.2400064941552602,1.0000000000000004,0.8064473893592293,6.451579114873835,3
case_06,400360,True,1.0,derived_from_exported_xy,8.970299243927002,10.134570455551147,15.962084121704066,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,3
case_10,400360,True,1.0,derived_from_exported_xy,8.422401428222656,10.146135330200195,16.147420253753637,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,3
case_11,400360,True,1.0,derived_from_exported_xy,9.481954383850102,10.622378873825072,17.002918834686216,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,3
case_12,400360,True,1.0,derived_from_exported_xy,8.25219078063965,10.082114791870117,16.142577419280983,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,3
case_13,400360,True,1.0,derived_from_exported_xy,7.618145275115968,9.118360137939451,14.603178558349592,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,3
case_14,400360,True,1.0,derived_from_exported_xy,7.814601469039917,9.186977624893188,14.805124273300162,1.240003996403237,0.9999999999999999,0.8064490137939926,6.451592110351941,3
case_17,400360,True,1.0,derived_from_exported_xy,7.94538350105286,8.882305335998534,13.956213130950902,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,3
case_18,400360,True,1.0,derived_from_exported_xy,8.313796043395998,9.915027427673339,15.819301843643087,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,3
case_19,400360,True,1.0,derived_from_exported_xy,8.578166675567628,10.343796873092652,16.581697864532423,1.240003996403237,0.9999999999999999,0.8064490137939926,6.451592110351941,3
case_20,400360,True,1.0,derived_from_exported_xy,8.465796852111817,10.149102687835692,16.289631748199415,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,3
case_21,400360,True,1.0,derived_from_exported_xy,6.813072156906129,8.021694707870484,12.29129181861873,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,3
case_27,400360,True,1.0,derived_from_exported_xy,7.139598655700684,8.11301689147949,13.111589975357049,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,3
case_28,400360,True,1.0,derived_from_exported_xy,8.16353693008423,9.724851751327513,15.672686471939013,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,3
case_29,400360,True,1.0,derived_from_exported_xy,3.055029153823853,3.50241869688034,5.4425946283340405,1.240003996403237,0.9999999999999996,0.8064490137939926,6.451592110351941,3
case_32,400360,True,1.0,derived_from_exported_xy,8.342197036743167,10.015990829467771,15.115796918868979,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,3
case_34,400360,True,1.0,derived_from_exported_xy,7.029938602447512,8.226318550109863,12.876111402511585,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,3
case_35,400360,True,1.0,derived_from_exported_xy,5.815611219406129,6.875816249847412,10.138929128646827,1.240003996403237,1.0000000000000004,0.8064490137939926,6.451592110351941,3
